,,,1740264480169,,177,,,0,,,,,,233,31,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR-Core,OSR-Adjacent
"http://www.kickstarter.com/projects/270273121/ryubix-manor-madness-betrayal-murder-vengeance-fam?ref=bggforums',",item3045106,,https://www.kicktraq.com/projects/270273121/ryubix-manor-madness-betrayal-murder-vengeance-fam/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,"Ryubix Manor--Madness, Betrayal, Murder, Vengeance... Family",February 23 2014,Y,USD,"2,990.00",1,"2,990.00",Y,N,Y,"$2,990",119.00%,Ended,2990,1613497304559,January 24 2014,"Ryubix Manor-A system agnostic (OSR/OGL compatible) haunted house adventure for 4-8 players, 16th-20th level. 300+ area descriptions",//s3.amazonaws.com/ksr/projects/784995/photo-small.jpg,,
"http://www.kickstarter.com/projects/676918054/castles-and-crusades-codex-nordica?ref=bggforums',",item3044328,,https://www.kicktraq.com/projects/676918054/castles-and-crusades-codex-nordica/,non-5E,https://rpggeek.com/rpg/509/castles-crusades,,Castles & Crusades Codex Nordica,February 25 2014,Y,USD,"22,108.00",1,"22,108.00",Y,N,Y,"$22,108",552.00%,Ended,22108,1613497304555,January 23 2014,"The Codex Nordica continues the exploration of mythological realms, with spells, monsters & more for your Castles & Crusades game.",//s3.amazonaws.com/ksr/projects/831690/photo-small.jpg,,1
"https://www.kickstarter.com/projects/forgeofrealms/city-of-aldenheim-complete-adventure-location-pack?ref=bggforums',",item3054190,,https://www.kicktraq.com/projects/forgeofrealms/city-of-aldenheim-complete-adventure-location-pack/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,City of Aldenheim - Complete adventure-location pack,February 27 2014,Y,GBP,763.00,1.66896,Not Funded,N,N,N,£763,25.00%,Ended,0,1613497304564,January 28 2014,"""City of Aldenheim"" gives you a complete adventures maps and background ready to use, compatible with any RPG system.",//s3.amazonaws.com/ksr/projects/842834/photo-small.jpg,,
"https://www.kickstarter.com/projects/962794554/strange-brew-the-ultimate-witch-and-warlock?ref=bggforums',",item3062085,,https://www.kicktraq.com/projects/962794554/strange-brew-the-ultimate-witch-and-warlock/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Strange Brew: The Ultimate Witch & Warlock,March 1 2014,Y,USD,"3,851.00",1,Not Funded,N,Y,N,"$3,851",19.00%,Cancelled,0,1613497304569,February 1 2014,"Timothy Brannan offers up a 500+-page tome on Pathfinder witches, including a new alternate version and a new warlock class.",//s3.amazonaws.com/ksr/projects/521438/photo-small.jpg,,
"https://www.kickstarter.com/projects/wordstudio/project-dark?ref=bggforums',",item3053573,,https://www.kicktraq.com/projects/wordstudio/project-dark/,RPG,,,Project: Dark,March 1 2014,Y,USD,"75,045.00",1,"75,045.00",Y,N,Y,"$75,045",893.00%,Ended,75045,1613497304562,January 27 2014,Play fantastic thieves in a fantastical city in this new stealth-adventure tabletop roleplaying game.,//s3.amazonaws.com/ksr/projects/836482/photo-small.jpg,,
"https://www.kickstarter.com/projects/1637945166/scarlet-heroes-rpg?ref=bggforums',",item3061238,,https://www.kicktraq.com/projects/1637945166/scarlet-heroes-rpg/,RPG,,,Scarlet Heroes RPG,March 3 2014,Y,USD,"18,140.00",1,"18,140.00",Y,N,Y,"$18,140",604.00%,Ended,18140,1613497304567,February 1 2014,Old-school sword & sorcery heroics for a single player and GM.,//s3.amazonaws.com/ksr/projects/834097/photo-small.jpg,,1
"https://www.kickstarter.com/projects/948204445/bulletproof-blues-second-edition?ref=bggforums',",item3061572,,https://www.kicktraq.com/projects/948204445/bulletproof-blues-second-edition/,non-5E,https://rpggeek.com/rpg/22780/bulletproof-blues,,Bulletproof Blues Second Edition,March 3 2014,Y,USD,"5,277.00",1,"5,277.00",Y,N,Y,"$5,277",351.00%,Ended,5277,1613497304568,February 1 2014,"Bulletproof Blues is a rules-light, setting-dark superhero RPG. The game is getting new art and an updated layout.",//s3.amazonaws.com/ksr/projects/771963/photo-small.jpg,,
"http://www.kickstarter.com/projects/goldengoblinpress/tales-of-the-crescent-city-from-golden-goblin-pres?ref=bggforums',",item3045103,,https://www.kicktraq.com/projects/621718369/tales-of-the-crescent-city-from-golden-goblin-pres/,non-5E,https://rpggeek.com/rpg/23113/call-cthulhu-7th-edition,,Tales of the Crescent City from Golden Goblin Press,March 4 2014,Y,USD,"36,636.00",1,"36,636.00",Y,N,Y,"$36,636",305.00%,Ended,36636,1613497304557,January 23 2014,Tales of the Crescent City—Adventures in Jazz Era New Orleans; a collection of scenarios for the Call of Cthulhu Roleplaying Game.,//s3.amazonaws.com/ksr/projects/702815/photo-small.jpg,,
"https://www.kickstarter.com/projects/1080999837/dangers-untold?ref=bggforums',",item3068123,,https://www.kicktraq.com/projects/1080999837/dangers-untold/,RPG,,,Dangers Untold,March 4 2014,Y,USD,"4,859.00",1,"4,859.00",Y,N,Y,"$4,859",121.00%,Ended,4859,1613497304571,February 3 2014,Dangers Untold is a game about a heroic girl in a strange land. It is a beginner-friendly LARP for 3-8 players ages 12 and up.,//s3.amazonaws.com/ksr/projects/846555/photo-small.jpg,,
"https://www.kickstarter.com/projects/305572273/far-away-land-rpg-fantasy-role-playing-and-worldbu?ref=bggforums',",item3066085,,https://www.kicktraq.com/projects/305572273/far-away-land-rpg-fantasy-role-playing-and-worldbu/,RPG,,,Far Away Land RPG: Fantasy Role-Playing & Worldbuilding,March 5 2014,Y,USD,"8,409.00",1,"8,409.00",Y,N,Y,"$8,409",560.00%,Ended,8409,1613497304570,February 3 2014,Far Away Land is a quirky and lighthearted fantasy tabletop role-playing/worldbuilding game which uses a simple d6 system.,//s3.amazonaws.com/ksr/projects/843532/photo-small.jpg,,
