Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/1152089861/the-keyring-rpg?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5933154',#item5933154',",3,https://www.kicktraq.com/projects/1152089861/the-keyring-rpg/,RPG,,,The Keyring RPG,18-Feb-18,Y,SEK,"86,399.00",0.12548,"10,841.35",Y,N,Y,"kr86,399 SEK",143.00%,Ended,10841.35,1.61117E+12,February 1 2018,,,,
"https://www.kickstarter.com/projects/eloso/chock-ater-fran-graven?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5910306#item5910306,2,https://www.kicktraq.com/projects/eloso/chock-ater-fran-graven/,RPG,,,Chock: åter från graven,18-Feb-18,Y,SEK,"306,645.00",0.12548,"38,477.81",Y,N,Y,"kr306,645 SEK",204.00%,Ended,38477.81,1.61117E+12,January 20 2018,,,,
"https://www.kickstarter.com/projects/throwigames/off-the-beaten-path-desert-excursions-0?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5959184#item5959184,4,https://www.kicktraq.com/projects/throwigames/off-the-beaten-path-desert-excursions-0/,non-5E,https://rpggeek.com/rpg/1650/swords-wizardry,,"Off the Beaten Path, Desert Excursions",19-Feb-18,Y,USD,"1,235.00",1,"1,235.00",Y,N,Y,"$1,235 ",247.00%,Ended,1235,1.61117E+12,February 9 2018,,,1,
"https://www.kickstarter.com/projects/sanguine/vital-hearts-isekai-tabletop-role-play-in-augmente?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5899227#item5899227,2,https://www.kicktraq.com/projects/sanguine/vital-hearts-isekai-tabletop-role-play-in-augmente/,RPG,,,VITAL HEARTS: Isekai Tabletop Role-Play in Augmented Reality,19-Feb-18,Y,USD,"10,703.00",1,"10,703.00",Y,N,Y,"$10,703 ",342.00%,Ended,10703,1.61117E+12,January 17 2018,,,,
"https://www.kickstarter.com/projects/1071745890/on-the-shoulders-of-heroes-reborn?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912352#item5912352,2,https://www.kicktraq.com/projects/1071745890/on-the-shoulders-of-heroes-reborn/,5E,,,On the Shoulders of Heroes - Reborn,21-Feb-18,Y,USD,"5,458.00",1,"5,458.00",Y,N,Y,"$5,458 ",136.00%,Ended,5458,1.61117E+12,January 22 2018,,,,
"https://www.kickstarter.com/projects/1734298920/the-hidden-halls-of-hazakor?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912504#item5912504,2,https://www.kicktraq.com/projects/1734298920/the-hidden-halls-of-hazakor/,5E,,,The Hidden Halls of Hazakor,21-Feb-18,Y,CAD,"12,576.00",0.78743,"9,902.72",Y,N,Y,"$12,576 CAD",119.00%,Ended,9902.72,1.61117E+12,January 22 2018,,,,
"https://www.kickstarter.com/projects/768022427/manual-of-mythology-fae-deities-and-shamanism-d20?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912502#item5912502,2,https://www.kicktraq.com/projects/768022427/manual-of-mythology-fae-deities-and-shamanism-d20/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,"Manual of Mythology, Fae, Deities, & Shamanism - d20 RPGs",21-Feb-18,Y,USD,"2,064.00",1,"2,064.00",Y,N,Y,"$2,064 ",147.00%,Ended,2064,1.61117E+12,January 22 2018,,,,
"https://www.kickstarter.com/projects/1709719996/curse-of-the-lost-memories-dungeons-and-dragons-an?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5913137#item5913137,2,https://www.kicktraq.com/projects/1709719996/curse-of-the-lost-memories-dungeons-and-dragons-an/,5E,,,Curse of the Lost Memories - Dungeons & Dragons & Pathfinder,22-Feb-18,Y,USD,"14,163.00",1,"14,163.00",Y,N,Y,"$14,163 ",708.00%,Ended,14163,1.61117E+12,January 23 2018,,,,
"https://www.kickstarter.com/projects/621873870/trudvang-cronicles-edizione-italiana?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5912516#item5912516,2,https://www.kicktraq.com/projects/621873870/trudvang-cronicles-edizione-italiana/,non-5E,https://rpggeek.com/rpg/1912/trudvang-chronicles,,Trudvang Cronicles Edizione Italiana,22-Feb-18,Y,USD,"28,682.00",1,"28,682.00",Y,N,Y,"$28,682 ",956.00%,Ended,28682,1.61117E+12,January 23 2018,,,,
"https://www.kickstarter.com/projects/1635382860/league-of-seekers/?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5920267',#item5920267',",3,https://www.kicktraq.com/projects/1635382860/league-of-seekers/,RPG,,,League of Seekers,22-Feb-18,Y,GBP,"8,080.00",1.3951,"11,272.41",Y,N,Y,"£8,080",538.00%,Ended,11272.41,1.61117E+12,January 23 2018,,,,
"https://www.kickstarter.com/projects/1388442938/ascendant-destiny-a-flexible-tabletop-fantasy-rpg?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5915676#item5915676,2,https://www.kicktraq.com/projects/1388442938/ascendant-destiny-a-flexible-tabletop-fantasy-rpg/,RPG,,,Ascendant Destiny - A flexible tabletop fantasy RPG,23-Feb-18,Y,AUD,"5,136.00",0.7844,"4,028.68",Y,N,Y,"$5,136 AUD",102.00%,Ended,4028.68,1.61117E+12,January 24 2018,,,,
"https://www.kickstarter.com/projects/608764698/the-midderlands-expanded-an-osr-setting-expansion?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5919922',#item5919922',",3,https://www.kicktraq.com/projects/608764698/the-midderlands-expanded-an-osr-setting-expansion/,non-5E,https://rpggeek.com/rpg/13239/original-dd-compatible-products,,The Midderlands Expanded - An OSR Setting Expansion,25-Feb-18,Y,GBP,"15,634.00",1.39668,"21,835.70",Y,N,Y,"£15,634",111.00%,Ended,21835.7,1.61117E+12,January 26 2018,,,1,
"https://www.kickstarter.com/projects/494568513/redshirts-vol-2-a-starfinder-comedy-ap-for-levels?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5897250#item5897250,2,https://www.kicktraq.com/projects/494568513/redshirts-vol-2-a-starfinder-comedy-ap-for-levels/,non-5E,https://rpggeek.com/rpg/43232/starfinder-system-compatible-product,,"Redshirts, Vol. 2: A Starfinder Comedy A.P. for levels 4-6",25-Feb-18,Y,USD,"7,224.00",1,"7,224.00",Y,N,Y,"$7,224 ",7223.00%,Ended,7224,1.61117E+12,January 16 2018,,,,
"https://www.kickstarter.com/projects/limitless-adventures/limitless-encounters-2-100-dnd5e-encounters?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5945533',#item5945533',",3,https://www.kicktraq.com/projects/limitless-adventures/limitless-encounters-2-100-dnd5e-encounters/,5E,,,Limitless Encounters 2 - 100 DnD5e encounters,1-Mar-18,Y,USD,"39,271.00",1,"39,271.00",Y,N,Y,"$39,271 ",785.00%,Ended,39271,1.61117E+12,February 5 2018,,,,
"https://www.kickstarter.com/projects/stephaniemcalea/the-wild-hunt-for-call-of-cthulhu?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5928255#item5928255,3,https://www.kicktraq.com/projects/stephaniemcalea/the-wild-hunt-for-call-of-cthulhu/,non-5E,https://rpggeek.com/rpg/23113/call-cthulhu-7th-edition,,The Wild Hunt for Call of Cthulhu,1-Mar-18,Y,GBP,"14,053.00",1.3774,"19,356.60",Y,N,Y,"£14,053",281.00%,Ended,19356.6,1.61117E+12,January 30 2018,,,,
"https://www.kickstarter.com/projects/200664283/trinity-continuum-aeon-rpg?ref=bggforums',",https://rpggeek.com/geeklist/234882/item/5928254#item5928254,3,https://www.kicktraq.com/projects/200664283/trinity-continuum-aeon-rpg/,RPG,,https://rpggeek.com/rpg/46691/trinity-continuum,TRINITY CONTINUUM: AEON RPG,1-Mar-18,Y,USD,"184,515.00",1,"184,515.00",Y,N,Y,"$184,515 ",369.00%,Ended,184515,1.61117E+12,January 30 2018,,,,
"https://www.kickstarter.com/projects/991523106/sagas-of-midgard-a-cinematic-norse-tabletop-rpg?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5934894',#item5934894',",3,https://www.kicktraq.com/projects/991523106/sagas-of-midgard-a-cinematic-norse-tabletop-rpg/,RPG,,,Sagas of Midgard: A Cinematic Norse Tabletop RPG,1-Mar-18,Y,USD,"11,633.00",1,"11,633.00",Y,N,Y,"$11,633 ",969.00%,Ended,11633,1.61117E+12,February 1 2018,,,,
"https://www.kickstarter.com/projects/zodiacempires/creatures-of-vathis-volume-one-dandd-5e-and-pathfi?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5934891',#item5934891',",3,https://www.kicktraq.com/projects/zodiacempires/creatures-of-vathis-volume-one-dandd-5e-and-pathfi/,5E,,,Creatures of Vathis: Volume One (D&D 5e & Pathfinder),3-Mar-18,Y,EUR,"13,379.00",1.2317,Not Funded,N,N,N,"€13,379",53.00%,Ended,0,1.61117E+12,February 1 2018,,,,
"https://www.kickstarter.com/projects/2000633882/champions-character-creation-cards?ref=bggforums',","https://rpggeek.com/geeklist/234882/item/5933150',#item5933150',",3,https://www.kicktraq.com/projects/2000633882/champions-character-creation-cards/,non-5E,https://rpggeek.com/rpg/11085/champions-hero-system-6,,Champions Character Creation Cards,3-Mar-18,Y,USD,"5,380.00",1,"5,380.00",Y,N,Y,"$5,380 ",215.00%,Ended,5380,1.61117E+12,February 1 2018,,,,
https://www.kickstarter.com/projects/1117146348/dark-hold-terror-from-the-black-isles-rpg-savage-w?ref=bggforums,https://rpggeek.com/geeklist/234882/item/5982878#item5982878,4,https://www.kicktraq.com/projects/1117146348/dark-hold-terror-from-the-black-isles-rpg-savage-w/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Dark Hold: Terror from the Black Isles RPG - Savage Worlds,4-Mar-18,Y,USD,"2,448.00",1,"2,448.00",Y,N,Y,"$2,448 ",408.00%,Ended,2448,1.61117E+12,February 17 2018,,,,
