GameOnTabletop Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Project Status,Currency,Funding Level,Exchange Rate,FundingLevelUSD,OSR Original,OSR Scene
https://www.gameontabletop.com/cf4221/la-vallee-des-totems-sanctuaires-des-ombres.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918953#11918953,RPG,,,La Vallée des Totems - Sanctuaires des Ombres,October 19 2024,"€1,733.00",Project Ended,EUR,"1,733.00",1.0870,"$1,883.77",,
https://www.gameontabletop.com/cf4211/broken-compass-le-jeu-de-role-d-aventure.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918961#11918961,non-5E,https://rpggeek.com/rpg/68793/broken-compass,,Broken Compass - le jeu de rôle d'aventure,October 8 2024,"€58,885.00",Project Ended,EUR,"58,885.00",1.0975,"$64,626.88",,
https://www.gameontabletop.com/cf3951/my-little-pony-le-jeu-de-role.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918970#11918970,non-5E,https://rpggeek.com/rpg/75556/my-little-pony-roleplaying-game,,My Little Pony : le jeu de rôle,September 16 2024,"€30,024.00",Project Ended,EUR,"30,024.00",1.1129,"$33,414.01",,
https://www.gameontabletop.com/cf2781/into-the-odd-vf-ete-2024.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918973#11918973,non-5E,https://rpggeek.com/rpg/23882/into-the-odd,,Into the Odd VF (été 2024),September 4 2024,"€29,750.00",Project Ended,EUR,"29,750.00",1.1079,"$32,961.22",,
https://www.gameontabletop.com/cf2051/argyropee-supplements-d-aventures.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918975#11918975,non-5E,not in database,,Argyropée - adventure supplements,October 6 2024,"€13,133.00",Project Ended,EUR,"13,133.00",1.0971,"$14,408.48",,
https://www.gameontabletop.com/cf3901/role-n-play-livre-de-la-meneuse-avance-supplement-sur-l-empire.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918976#11918976,5E,,,Rôle'n Play : livre de la meneuse avancé + supplément sur l'Empire,August 30 2024,"€118,102.00",Project Ended,EUR,"118,102.00",1.1060,"$130,620.81",,
https://www.gameontabletop.com/cf3841/thirsty-sword-lesbians.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918978#11918978,non-5E,https://rpggeek.com/rpg/66116/thirsty-sword-lesbians,,Thirsty Sword Lesbians,September 22 2024,"€11,547.00",Project Ended,EUR,"11,547.00",1.1160,"$12,886.22",,
https://www.gameontabletop.com/cf3931/delta-green.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918980#11918980,non-5E,https://rpggeek.com/rpg/27917/delta-green-the-role-playing-game,,Delta Green,September 4 2024,"€48,830.00",Project Ended,EUR,"48,830.00",1.1079,"$54,100.71",,
https://www.gameontabletop.com/cf4021/dans-la-tete-de-monsieur-le-prof.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918981#11918981,RPG,,https://rpggeek.com/rpgsystem/22884/systemless-gamebooks,Dans la tête de monsieur le prof,August 26 2024,"€12,285.00",Project Ended,EUR,"12,285.00",1.1164,"$13,715.47",,
https://www.gameontabletop.com/cf2811/maat-les-gardiens-de-l-eternite.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918987#11918987,RPG,,,Maât - Les Gardiens de l'Éternité,August 30 2024,"€5,205.00",Project Ended,EUR,"5,205.00",1.1060,"$5,756.73",,
