Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,OSR Core,OSR Adjacent,,,,,,
https://www.kickstarter.com/projects/technicalgrimoire/the-bone-marshes-a-hex-mapping-adventure-about-get?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6652385#item6652385,1,https://www.kicktraq.com/projects/464972563/the-bone-marshes-a-hex-mapping-adventure-about-get/,RPG,,,The Bone Marshes: A Hex-Mapping Adventure About Getting Lost,10-Feb-19,Y,USD,"3,728.00",1,"3,728.00",Y,N,Y,"$3,728 ",149.00%,Ended,3728,1.60874E+12,January 11 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/1408541387/station-keepers?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6657963#item6657963,1,https://www.kicktraq.com/projects/1408541387/station-keepers/,RPG,,,Station Keepers,10-Feb-19,Y,USD,335,1,335,Y,N,Y,$335 ,335.00%,Ended,335,1.60874E+12,January 11 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/wms/monsters-and-magic?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6657968#item6657968,1,https://www.kicktraq.com/projects/1071745890/monsters-and-magic/,5E,,,Monsters & Magic,11-Feb-19,Y,USD,"10,016.00",1,"10,016.00",Y,N,Y,"$10,016 ",250.00%,Ended,10016,1.60874E+12,January 12 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/563681582/the-folio-digital-quarterly-4-1e-5e-adventure-modu?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6696737#item6696737,3,https://www.kicktraq.com/projects/563681582/the-folio-digital-quarterly-4-1e-5e-adventure-modu/,5E,,,The Folio: Digital Quarterly #4 1E/5E adventure module!,11-Feb-19,Y,USD,"1,886.00",1,"1,886.00",Y,N,Y,"$1,886 ",377.00%,Ended,1886,1.60874E+12,January 31 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/highergrounds/lex-draconis-be-the-dragon?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6658658#item6658658,2,https://www.kicktraq.com/projects/highergrounds/lex-draconis-be-the-dragon/,RPG,,https://rpggeek.com/rpgsystem/2789/pathfinder-system,Lex Draconis - Be The Dragon,11-Feb-19,Y,USD,"2,350.00",1,"2,350.00",Y,N,Y,"$2,350 ",235.00%,Ended,2350,1.60874E+12,January 14 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/9thlevel/kobolds-ate-my-baby-20th-anniversary-zine-quest?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6713031#item6713031,5,https://www.kicktraq.com/projects/9thlevel/kobolds-ate-my-baby-20th-anniversary-zine-quest/,non-5E,https://rpggeek.com/rpg/7813/kobolds-ate-my-baby-3rd-edition,,Kobolds Ate My Baby! 20th Anniversary - ZINE QUEST,12-Feb-19,Y,USD,"4,100.00",1,"4,100.00",Y,N,Y,"$4,100 ",819.00%,Ended,4100,1.60874E+12,February 5 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/philipreed/delayed-blast-gamemaster-1?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6698640#item6698640,3,https://www.kicktraq.com/projects/102137316/delayed-blast-gamemaster-1/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Delayed Blast Gamemaster #1,13-Feb-19,Y,USD,"5,946.00",1,"5,946.00",Y,N,Y,"$5,946 ",792.00%,Ended,5946,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/warehouse23/hexagram-1-an-old-school-rpg-zine-for-the-fantasy?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6699089#item6699089,4,https://www.kicktraq.com/projects/warehouse23/hexagram-1-an-old-school-rpg-zine-for-the-fantasy/,non-5E,https://rpggeek.com/rpg/445/fantasy-trip,,"Hexagram #1, an Old-School RPG Zine for The Fantasy Trip",13-Feb-19,Y,USD,"10,657.00",1,"10,657.00",Y,N,Y,"$10,657 ",1065.00%,Ended,10657,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/thomas-biskup/the-adom-ancient-domains-of-mystery-roleplaying-ga?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6658624#item6658624,1,https://www.kicktraq.com/projects/thomas-biskup/the-adom-ancient-domains-of-mystery-roleplaying-ga/,RPG,,https://rpggeek.com/rpgfamily/27257/retro-clones,The ADOM (Ancient Domains Of Mystery) Roleplaying Game,13-Feb-19,Y,USD,"24,072.00",1,"24,072.00",Y,N,Y,"$24,072 ",481.00%,Ended,24072,1.60874E+12,January 14 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/geargames/vulcania-role-playing-game?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6662401#item6662401,2,https://www.kicktraq.com/projects/1059671560/vulcania-role-playing-game/,RPG,,,Vulcania Role-playing Game,13-Feb-19,Y,USD,"33,032.00",1,"33,032.00",Y,N,Y,"$33,032 ",132.00%,Ended,33032,1.60874E+12,January 15 2019,,,,,,,,,,,
