,,,1740264455815,,266,281,128,0,,,,215,193,408,20,8,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,,Last Updated,Start Date,,
"http://www.kickstarter.com/projects/2002186028/sordid-dystopia-a-victorian-post-apocalyptic-rpg?ref=bggforums',",item2002136,,https://www.kicktraq.com/projects/2002186028/sordid-dystopia-a-victorian-post-apocalyptic-rpg/,RPG,,,Sordid Dystopia - A Victorian Post-Apocalyptic RPG,February 26 2012,Y,USD,"2,165.00",1,"2,165.00",Y,N,Y,"$2,165",433.00%,Ended,2165,1616169629531,January 24 2012,A post-industrialist and post-apocalyptic low-fantasy game written and designed by Nathan Allen Knapp.,//s3.amazonaws.com/ksr/projects/66899/photo-small.jpg
"http://www.kickstarter.com/projects/656646797/sailing-the-starlit-sea?ref=bggforums',",item2002134,,https://www.kicktraq.com/projects/656646797/sailing-the-starlit-sea/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Sailing the Starlit Sea,February 29 2012,Y,USD,"5,475.00",1,"5,475.00",Y,N,Y,"$5,475",121.00%,Ended,5475,1616169629530,January 22 2012,Sailing the Starlit Sea will be the definitive sourcebook on fantasy space travel designed for the Pathfinder Roleplaying Game.,//s3.amazonaws.com/ksr/projects/68567/photo-small.jpg
"http://www.kickstarter.com/projects/1473997268/rogue-mage-roleplaying-game-and-world-book?ref=bggforums',",item2002128,,https://www.kicktraq.com/projects/1473997268/rogue-mage-roleplaying-game-and-world-book/,RPG,,,Rogue Mage Roleplaying Game and World Book,March 5 2012,Y,USD,"9,018.00",1,"9,018.00",Y,N,Y,"$9,018",150.00%,Ended,9018,1616169629529,January 20 2012,"Rogue Mage RPG: pen and paper roleplaying game with an amazing amount of fiction, based on the Rogue Mage novel series by Faith Hunter.",//s3.amazonaws.com/ksr/projects/63424/photo-small.jpg
"http://www.kickstarter.com/projects/actionrpg/gangland?ref=bggforums',",item2016915,,https://www.kicktraq.com/projects/actionrpg/gangland/,RPG,,,Gangland,March 5 2012,Y,USD,20.00,1,Not Funded,N,N,N,$20,0.00%,Ended,0,1616169629534,January 30 2012,"A modern day cops and robbers table-top RPG book.  with new feats, classes, occupations and a new revolutionary mass combat system.",//s3.amazonaws.com/ksr/projects/70147/photo-small.jpg
"http://www.kickstarter.com/projects/1452186107/universal-drama?ref=bggforums',",item2026490,,https://www.kicktraq.com/projects/1452186107/universal-drama/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Ultimate Drama,March 9 2012,Y,USD,272.00,1,Not Funded,N,N,N,$272,6.00%,Ended,0,1616169629537,February 8 2012,Universal Drama deck -Drama Cards for any RPG. Created by gamers for gamers with the sole purpose of enhancing your gaming experience.,https://ksr-ugc.imgix.net/projects/71817/photo-original.jpg?w=160&h=90&fit=fill&bg=000000&v=1397770313&auto=format&q=92&s=fa38f1e57ab828b07018c76a89d3f2b2
"http://www.kickstarter.com/projects/timh/everything-is-dolphins-an-rpg-and-art-book?ref=bggforums',",item2022378,,https://www.kicktraq.com/projects/timh/everything-is-dolphins-an-rpg-and-art-book/,RPG,,,Everything is Dolphins - an RPG and art book,March 11 2012,Y,USD,"4,480.00",1,"4,480.00",Y,N,Y,"$4,480",448.00%,Ended,4480,1616169629535,February 10 2012,"Everything is Dolphins is an RPG hovering somewhere between side scroller video game, talking animal fairy tale, and triptastic fun.",//s3.amazonaws.com/ksr/projects/75474/photo-small.jpg
http://www.kickstarter.com/projects/jdmbaldwin/next-the-next-edition-of-gaming?ref=bggforum,item2026497,,https://www.kicktraq.com/projects/jdmbaldwin/next-the-next-edition-of-gaming/,RPG,,,Next: the Next Edition of Gaming,March 11 2012,Y,USD,618.00,1,618.00,Y,N,Y,$618,154.00%,Ended,618,1616169629539,February 10 2012,Next is an open-source project to design a tabletop fantasy roleplaying game inspired by Dungeons and Dragons.,//s3.amazonaws.com/ksr/projects/73942/photo-small.jpg
"http://www.kickstarter.com/projects/200664283/v20-companion-deluxe-edition?ref=bggforums',",item2030719,,https://www.kicktraq.com/projects/200664283/v20-companion-deluxe-edition/,non-5E,https://rpggeek.com/rpg/421/vampire-masquerade,,V20 Companion Deluxe Edition,March 16 2012,Y,USD,"96,326.00",1,"96,326.00",Y,N,Y,"$96,326",192.00%,Ended,96326,1616169628550,February 15 2012,"Contribute to help give the V20 Companion the same leather bound, embossed, silver edged, full color, deluxe treatment as V20.",//s3.amazonaws.com/ksr/projects/72154/photo-small.jpg
"http://www.kickstarter.com/projects/142014231/players-companion-for-adventurer-conqueror-king?ref=bggforums',",item2022386,,https://www.kicktraq.com/projects/autarch/players-companion-for-adventurer-conqueror-king/,non-5E,https://rpggeek.com/rpg/17427/adventurer-conqueror-king-system,,Player's Companion for the Adventurer Conqueror King RPG,March 16 2012,Y,USD,"20,622.00",1,"20,622.00",Y,N,Y,"$20,622",515.00%,Ended,20622,1616169629536,February 8 2012,"New character classes, templates, spells, and class creation tools expand your favorite fantasy RPG & our love of Kickstarter!",//s3.amazonaws.com/ksr/projects/74873/photo-small.jpg
"http://www.kickstarter.com/projects/seraphina/avarice-industries-rpg-a-game-of-dreams-and-profit?ref=bggforums',",item2045700,,https://www.kicktraq.com/projects/seraphina/avarice-industries-rpg-a-game-of-dreams-and-profit/,RPG,,,Avarice Industries RPG - A Game of Dreams and Profit,March 20 2012,Y,USD,"7,015.00",1,"7,015.00",Y,N,Y,"$7,015",350.00%,Ended,7015,1616169628552,February 27 2012,"Conquer the global market of this satirical, darkly comic Business RPG by turning imagination into a weapon.",//s3.amazonaws.com/ksr/projects/69666/photo-small.jpg
