,,,1740264532988,,151,86,,0,,,,,,308,28,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/1456806822/letters-from-the-flaming-crab-2016-for-the-pathfin?ref=bggforums',",item4408040,,https://www.kicktraq.com/projects/1456806822/letters-from-the-flaming-crab-2016-for-the-pathfin/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Letters from the Flaming Crab (2016) for the Pathfinder RPG,March 3 2016,Y,USD,"3,021.00",1,"3,021.00",Y,N,Y,"$3,021",120.00%,Ended,3021,1611246118243,January 21 2016,,,,
"https://www.kickstarter.com/projects/565866321/mechawest?ref=bggforums',",item4403810,,https://www.kicktraq.com/projects/565866321/mechawest/,non-5E,https://rpggeek.com/rpg/6365/mecha,,MechaWest,March 3 2016,Y,USD,"2,676.00",1,Not Funded,N,N,N,"$2,676",62.00%,Ended,0,1611246118246,January 18 2016,,,,
"https://www.kickstarter.com/projects/545820095/weird-war-i-savage-worlds?ref=bggforums',",item4468515,,https://www.kicktraq.com/projects/545820095/weird-war-i-savage-worlds/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Weird War I - Savage Worlds,March 3 2016,Y,USD,"65,018.00",1,"65,018.00",Y,N,Y,"$65,018",812.00%,Ended,65018,1611246118241,February 16 2016,,,,
"https://www.kickstarter.com/projects/937759598/gossamer-worlds-compendium-diceless?ref=bggforums',",item4435647,,https://www.kicktraq.com/projects/937759598/gossamer-worlds-compendium-diceless/,non-5E,https://rpggeek.com/rpg/23864/lords-gossamer-shadow,,Gossamer Worlds Compendium (Diceless),March 4 2016,Y,USD,"13,251.00",1,"13,251.00",Y,N,Y,"$13,251",1766.00%,Ended,13251,1611246118247,February 2 2016,,,,
"https://www.kickstarter.com/projects/gamebreakingbuilds/rise-of-the-watchers-level-1-20-evil-pathfinder-ad?ref=bggforums',",item4436522,,https://www.kicktraq.com/projects/gamebreakingbuilds/rise-of-the-watchers-level-1-20-evil-pathfinder-ad/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Rise of The Watchers: Level 1 - 20 EVIL Pathfinder Adventure,March 4 2016,Y,USD,"2,116.00",1,"2,116.00",Y,N,Y,"$2,116",2116.00%,Ended,2116,1611246118249,February 3 2016,,,,
"https://www.kickstarter.com/projects/1931668736/insight-fantasy-rpg?ref=bggforums',",item4436523,,https://www.kicktraq.com/projects/1931668736/insight-fantasy-rpg/,RPG,,,Insight Fantasy RPG,March 4 2016,Y,NOK,"42,745.00",0.11777,"5,034.08",Y,N,Y,"kr42,745 NOK",427.00%,Ended,5034.08,1611246118251,February 3 2016,,,,
"https://www.kickstarter.com/projects/1192053011/mutant-genlab-alpha?ref=bggforums',",item4421260,,https://www.kicktraq.com/projects/1192053011/mutant-genlab-alpha/,RPG,,https://rpggeek.com/rpgsystem/43636/year-zero-engine,Mutant: Genlab Alpha,March 4 2016,Y,SEK,"755,002.00",0.1179,"89,014.74",Y,N,Y,"kr755,002 SEK",1510.00%,Ended,89014.74,1611246118255,January 28 2016,,,,
"https://www.kickstarter.com/projects/sandandsteam/iron-edda-tales-of-the-skalds?ref=bggforums',",item4471793,,https://www.kicktraq.com/projects/sandandsteam/iron-edda-tales-of-the-skalds/,non-5E,https://rpggeek.com/rpg/203/fate-core,,Iron Edda: Tales of the Skalds,March 5 2016,Y,USD,"3,065.00",1,"3,065.00",Y,N,Y,"$3,065",102.00%,Ended,3065,1611246118258,February 16 2016,,,,
"https://www.kickstarter.com/projects/1931180102/the-lost-temple-of-forgotten-evil-a-5e-osr-adventu?ref=bggforums',",item4442764,,https://www.kicktraq.com/projects/1931180102/the-lost-temple-of-forgotten-evil-a-5e-osr-adventu/,5E,,,"The Lost Temple of Forgotten Evil, a 5e/OSR adventure",March 6 2016,Y,USD,"4,111.00",1,"4,111.00",Y,N,Y,"$4,111",205.00%,Ended,4111,1611246118261,February 6 2016,,,,
"https://www.kickstarter.com/projects/shadesofvengeance/era-lyres-pocket-edition?ref=bggforums',",item4471766,,https://www.kicktraq.com/projects/shadesofvengeance/era-lyres-pocket-edition/,non-5E,https://rpggeek.com/rpg/35145/era-lyres,,£1 Tabletop RPG Rulebook: Era: Lyres - Pocket Edition,March 6 2016,Y,GBP,"1,146.00",1.42125,"1,628.75",Y,N,Y,"£1,146",1146.00%,Ended,1628.75,1611246118262,February 12 2016,,,,
"https://www.kickstarter.com/projects/1121209158/altais-age-of-ruin-a-dystopian-fantasy-rpg-relaunc?ref=bggforums',",item4444839,,https://www.kicktraq.com/projects/1121209158/altais-age-of-ruin-a-dystopian-fantasy-rpg-relaunc/,RPG,,,Altais: Age of Ruin - A dystopian fantasy RPG - Relaunch,March 7 2016,Y,AUD,"13,056.00",0.7454,"9,731.94",Y,N,Y,"$13,056 AUD",130.00%,Ended,9731.94,1611246118264,February 6 2016,,,,
"https://www.kickstarter.com/projects/1752312315/3-aps-60-levels-epic-pathfinder-adventure-bundle?ref=bggforums',",item4489963,,https://www.kicktraq.com/projects/1752312315/3-aps-60-levels-epic-pathfinder-adventure-bundle/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,3 APs - 60 Levels - Epic Pathfinder Adventure Bundle,March 8 2016,Y,USD,"3,570.00",1,"3,570.00",Y,N,Y,"$3,570",1428.00%,Ended,3570,1611246118266,February 27 2016,,,,
"https://www.kickstarter.com/projects/metalweavedesigns/baby-bestiary-volume-2-and-vol-1-reprint?ref=bggforums',",item4417714,,https://www.kicktraq.com/projects/metalweavegames/baby-bestiary-volume-2-and-vol-1-reprint/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Baby Bestiary Volume 2 & Vol. 1 Reprint,March 8 2016,Y,USD,"53,265.00",1,"53,265.00",Y,N,Y,"$53,265",140.00%,Ended,53265,1611246118269,January 26 2016,,,,
"https://www.kickstarter.com/projects/ndpaoletta/world-wide-wrestling-rpg-international-incident?ref=bggforums',",item4445548,,https://www.kicktraq.com/projects/ndpaoletta/world-wide-wrestling-rpg-international-incident/,non-5E,https://rpggeek.com/rpg/26503/world-wide-wrestling,,World Wide Wrestling RPG: International Incident,March 8 2016,Y,USD,"16,658.00",1,"16,658.00",Y,N,Y,"$16,658",444.00%,Ended,16658,1611246118267,February 7 2016,,,,
"https://www.kickstarter.com/projects/200664283/pugmire-fantasy-tabletop-rpg?ref=bggforums',",item4422099,,https://www.kicktraq.com/projects/200664283/pugmire-fantasy-tabletop-rpg/,RPG,,,Pugmire Fantasy Tabletop RPG,March 8 2016,Y,USD,"193,404.00",1,"193,404.00",Y,N,Y,"$193,404",1289.00%,Ended,193404,1611246118271,January 28 2016,,,,
"https://www.kickstarter.com/projects/1777472051/gemhammer-deck-of-many-things?ref=bggforums',",item4428038,,https://www.kicktraq.com/projects/1777472051/gemhammer-deck-of-many-things/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Gemhammer Deck of Many Things,March 11 2016,Y,USD,"3,717.00",1,Not Funded,N,N,N,"$3,717",37.00%,Ended,0,1611246118276,January 31 2016,,,,
"https://www.kickstarter.com/projects/richardbellingham/the-secrets-of-cats-feline-magic?ref=bggforums',",item4471742,,https://www.kicktraq.com/projects/1229316235/the-secrets-of-cats-feline-magic/,non-5E,https://rpggeek.com/rpg/203/fate-core,,The Secrets of Cats: Feline Magic,March 11 2016,Y,GBP,"1,869.00",1.43829,"2,688.16",Y,N,Y,"£1,869",287.00%,Ended,2688.16,1611246118274,February 10 2016,,,,
"https://www.kickstarter.com/projects/johnwickpresents/7th-sea-second-edition?ref=bggforums',",item4449040,,https://www.kicktraq.com/projects/johnwickpresents/310731843/,RPG,,https://rpggeek.com/rpgfamily/592/7th-sea-swashbuckling-adventures,7th Sea: Second Edition,March 13 2016,Y,USD,"1,316,813.00",1,"1,316,813.00",Y,N,Y,"$1,316,813",4389.00%,Ended,1316813,1611246118278,February 9 2016,,,,
"https://www.kickstarter.com/projects/2cgaming/epic-legacy-the-5th-edition-game-beyond-20th-level?ref=bggforums',",item4471753,,https://www.kicktraq.com/projects/2cgaming/epic-legacy-the-5th-edition-game-beyond-20th-level/,5E,,,Epic Legacy: The 5th Edition Game beyond 20th Level,March 14 2016,Y,USD,"9,205.00",1,Not Funded,N,Y,N,"$9,205",26.00%,Cancelled,0,1611246118280,February 12 2016,,,,
"https://www.kickstarter.com/projects/unplayablegames/the-name-of-god-a-game-of-outcasts-and-urban-weird?ref=bggforums',",item4471785,,https://www.kicktraq.com/projects/unplayablegames/the-name-of-god-a-game-of-outcasts-and-urban-weird/,RPG,,,The Name of God - a game of outcasts and urban weirdness,March 16 2016,Y,EUR,"2,699.00",1.1217,"3,027.47",Y,N,Y,"€2,699",449.00%,Ended,3027.47,1611246118282,February 14 2016,,,,
"https://www.kickstarter.com/projects/hyacinthgames/shangri-la-a-wreck-age-guide-to-post-collapse-los?ref=bggforums',",item4471807,,https://www.kicktraq.com/projects/hyacinthgames/shangri-la-a-wreck-age-guide-to-post-collapse-los/,non-5E,https://rpggeek.com/rpg/36143/wreck-age,,Shangri LA: A Wreck Age guide to post-collapse Los Angeles.,March 19 2016,Y,USD,"2,351.00",1,"2,351.00",Y,N,Y,"$2,351",156.00%,Ended,2351,1611246118284,February 16 2016,,,,
"https://www.kickstarter.com/projects/modiphius/robert-e-howards-conan-roleplaying-game?ref=bggforums',",item4465443,,https://www.kicktraq.com/projects/modiphius/robert-e-howards-conan-roleplaying-game/,RPG,,,Robert E. Howard's Conan Roleplaying Game,March 20 2016,Y,GBP,"436,755.00",1.4463,"631,678.76",Y,N,Y,"£436,755",970.00%,Ended,631678.76,1611246118286,February 16 2016,,,,
"https://www.kickstarter.com/projects/1973872220/emissary-tabletop-rpg?ref=bggforums',",item4476529,,https://www.kicktraq.com/projects/1973872220/emissary-tabletop-rpg/,RPG,,,Emissary - Tabletop RPG,March 21 2016,Y,GBP,"9,324.00",1.43664,"13,395.23",Y,N,Y,"£9,324",186.00%,Ended,13395.23,1611246118287,February 20 2016,,,,
"https://www.kickstarter.com/projects/678938810/star-bastards-a-two-fisted-fantasy-gamebook?ref=bggforums',",item4482276,,https://www.kicktraq.com/projects/678938810/star-bastards-a-two-fisted-fantasy-gamebook/,RPG,,https://rpggeek.com/rpgsystem/22884/systemless-gamebooks,Star Bastards: A Two-Fisted Fantasy Gamebook,23 Mar 2016,Y,GBP,651.00,1.41135,Not Funded,N,N,N,£651,13.00%,Ended,0,1611246118289,February 22 2016,,,,
"https://www.kickstarter.com/projects/581969921/strange-world-cthulhu-shadow-over-texas?ref=bggforums',",item4471746,,https://www.kicktraq.com/projects/581969921/strange-world-cthulhu-shadow-over-texas/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Strange World Cthulhu: Shadow Over Texas,March 24 2016,Y,USD,"1,290.00",1,Not Funded,N,N,N,"$1,290",12.00%,Ended,0,1611246118290,February 11 2016,,,,
"https://www.kickstarter.com/projects/563681582/the-folio-8-the-hidden-valoria?ref=bggforums',",item4504568,,https://www.kicktraq.com/projects/563681582/the-folio-8-the-hidden-valoria/,5E,,,The Folio #8 The Hidden Valoria,March 25 2016,Y,USD,"12,961.00",1,"12,961.00",Y,N,Y,"$12,961",259.00%,Ended,12961,1611246118293,March 5 2016,,,,
"https://www.kickstarter.com/projects/eloylasanta/amp-year-3-the-war-of-2017-is-here-modern-supers-r?ref=bggforums',",item4482482,,https://www.kicktraq.com/projects/eloylasanta/amp-year-3-the-war-of-2017-is-here-modern-supers-r/,non-5E,https://rpggeek.com/rpg/25551/amp-year-one,,"AMP: Year 3, The War of 2017 is Here! (Modern Supers RPG)",25 Mar 2016,Y,USD,"10,516.00",1,"10,516.00",Y,N,Y,"$10,516",131.00%,Ended,10516,1611246118291,February 23 2016,,,,
"https://www.kickstarter.com/projects/1000694697/dnd-5th-edition-6-week-campaign?ref=bggforums',",item4524306,,https://www.kicktraq.com/projects/1000694697/dnd-5th-edition-6-week-campaign/,5E,,,DnD 5th edition 6 week campaign,28 Mar 2016,Y,USD,5.00,1,Not Funded,N,N,N,$5,6.00%,Ended,0,1611246118294,March 16 2016,,,,
"https://www.kickstarter.com/projects/drinkingquest/drinking-quest-journey-into-draught?ref=bggforums',",item4491979,,https://www.kicktraq.com/projects/drinkingquest/drinking-quest-journey-into-draught/,non-5E,https://rpggeek.com/rpg/17380/drinking-quest-original-drinking-rpg,,Drinking Quest: Journey into Draught,March 30 2016,Y,CAD,"140,405.00",0.77039,"108,166.61",Y,N,Y,"$140,405 CAD",936.00%,Ended,108166.61,1611246118296,February 29 2016,,,,
"https://www.kickstarter.com/projects/90734061/merlins-march-20-levels-dandd-5e-and-pathfinder-co?ref=bggforums',",item4514996,,https://www.kicktraq.com/projects/90734061/merlins-march-20-levels-dandd-5e-and-pathfinder-co/,5E,,,Merlin's March - 20 Levels - D&D 5E & Pathfinder Compatible,31 Mar 2016,Y,USD,"3,884.00",1,"3,884.00",Y,N,Y,"$3,884",776.00%,Ended,3884,1611246118297,March 11 2016,,,,
